input_destination,input_duration,input_interests_001,input_interests_002,input_interests_003,input_interests_004,input_interests_005,output_optimized_itinerary_state,output_optimized_itinerary_days_day,output_optimized_itinerary_days_morning,output_optimized_itinerary_days_afternoon,output_optimized_itinerary_days_evening
Thekkady (Periyar National Park),2.0,Nature,Wildlife,Adventure,Food,Not Specified,,2,Go for a guided jungle trek or nature walk,Visit a spice plantation and learn about local spices,Shopping for spices and local handicrafts
Varkala,3.0,Beach,Spiritual,Food,Photography,Not Specified,,1,"Arrive in Varkala, check in to a cliff-side hotel",Descend to Varkala Beach (Papanasam Beach),Explore the shops and cafes along the North Cliff
Varkala,3.0,Beach,Spiritual,Food,Photography,Not Specified,,2,Visit the 2000-year-old Janardanaswamy Temple,Take a dip in the holy waters of the beach,Enjoy a fresh seafood dinner watching the sunset from the cliff
Varkala,3.0,Beach,Spiritual,Food,Photography,Not Specified,,3,Yoga or Ayurveda session,Visit Kappil Beach and Backwaters,Relax and enjoy the bohemian vibe
Lucknow,2.0,History,Food,Culture,Photography,Not Specified,,1,Explore Bara Imambara and its Bhulbhulaiya (labyrinth),Visit the Chota Imambara,Food walk in the old city for kebabs and biryani
Lucknow,2.0,History,Food,Culture,Photography,Not Specified,,2,"Visit the British Residency, a key site of the 1857 revolt",Explore Hazratganj for shopping and modern Lucknow,Enjoy a cup of famous Lucknowi tea and street food
Orchha,2.0,History,Architecture,Photography,Spiritual,Not Specified,,1,"Explore the Orchha Fort complex, including Jahangir Mahal and Raja Mahal",Visit the Chaturbhuj Temple,Watch the sunset over the cenotaphs (Chhatris) by the Betwa River
Orchha,2.0,History,Architecture,Photography,Spiritual,Not Specified,,2,"Visit the Ram Raja Temple, where Rama is worshipped as a king","Explore the Laxminarayan Temple, known for its murals",Enjoy the tranquil riverside ambiance
Pune,2.0,History,Food,Nightlife,Culture,Not Specified,,1,"Explore the Shaniwar Wada, the seat of the Peshwas","Visit the Aga Khan Palace, where Mahatma Gandhi was imprisoned",Explore the vibrant nightlife and food scene in Koregaon Park
Pune,2.0,History,Food,Nightlife,Culture,Not Specified,,2,Hike to Sinhagad Fort for history and panoramic views,Visit the Dagdusheth Halwai Ganpati Temple,Food tour on FC Road and JM Road
Great Rann of Kutch,3.0,Nature,Culture,Photography,Shopping,Not Specified,,1,"Arrive in Bhuj, explore Aina Mahal and Prag Mahal",Travel to a tent city or resort near the White Rann,Witness the sunset over the salt desert
Great Rann of Kutch,3.0,Nature,Culture,Photography,Shopping,Not Specified,,2,Experience the sunrise at the White Rann,Visit Kalo Dungar (Black Hill) for a panoramic view of the Rann,Enjoy a cultural program with folk music and dance
Great Rann of Kutch,3.0,Nature,Culture,Photography,Shopping,Not Specified,,3,Visit nearby handicraft villages like Nirona (Rogan Art) and Hodka,Shopping for local crafts in Bhuj,Departure from Bhuj
Mahabalipuram,2.0,History,Architecture,Beach,Photography,Not Specified,,1,"Explore the Shore Temple, a UNESCO World Heritage site",Visit the Pancha Rathas (Five Rathas),Relax at Mahabalipuram Beach
Mahabalipuram,2.0,History,Architecture,Beach,Photography,Not Specified,,2,Explore Arjuna's Penance and Krishna's Butterball,Visit the various cave temples and the lighthouse,Shopping for stone sculptures and local crafts
Wayanad,3.0,Nature,Adventure,Photography,History,Not Specified,,1,"Arrive in Wayanad, visit Pookode Lake for boating",Explore the Lakkidi View Point,Check into a treehouse resort
Wayanad,3.0,Nature,Adventure,Photography,History,Not Specified,,2,Trek to Chembra Peak (heart-shaped lake on the way),Visit Soochipara Falls,Relax and enjoy the natural surroundings
Wayanad,3.0,Nature,Adventure,Photography,History,Not Specified,,3,Explore the Edakkal Caves with ancient petroglyphs,Visit the Wayanad Heritage Museum,"Drive to Banasura Sagar Dam, the largest earthen dam in India"
Kasol,3.0,Nature,Adventure,Food,Photography,Not Specified,,1,"Arrive in Kasol, check in and relax",Take a walk along the Parvati River,Explore the cafes of Kasol and try Israeli food
Kasol,3.0,Nature,Adventure,Food,Photography,Not Specified,,2,Trek to the village of Chalal,Continue the trek to Katagla,Bonfire and music by the river
Kasol,3.0,Nature,Adventure,Food,Photography,Not Specified,,3,Day trip to Manikaran Sahib Gurudwara and its hot springs,Explore the village of Tosh,Return to Kasol for departure
Ziro Valley,4.0,Culture,Nature,Photography,Music,Not Specified,,1,Travel from Guwahati/Itanagar to Ziro,Check in and acclimatize,Stroll through the local market in Hapoli
Ziro Valley,4.0,Culture,Nature,Photography,Music,Not Specified,,2,"Explore the villages of the Apatani tribe, like Hong and Hari",Learn about the unique Apatani culture and see the facial tattoos,Interact with the local community
Ziro Valley,4.0,Culture,Nature,Photography,Music,Not Specified,,3,Visit the Talley Valley Wildlife Sanctuary,Explore the vast paddy-cum-fish farms,Enjoy local cuisine and rice beer
Ziro Valley,4.0,Culture,Nature,Photography,Music,Not Specified,,4,Visit the Shiv Linga at Kardo Forest,Photography walk through the pine groves,Relax before the journey back
Cherrapunji (Sohra),3.0,Nature,Adventure,Photography,Music,Not Specified,,1,Travel from Shillong to Cherrapunji,"Visit the Nohkalikai Falls, the tallest plunge waterfall in India",Explore the Mawsmai Caves
Cherrapunji (Sohra),3.0,Nature,Adventure,Photography,Music,Not Specified,,2,Trek to the Double Decker Living Root Bridge in Nongriat village,Swim in the natural pools near the bridge,Hike back up or stay overnight in Nongriat
Cherrapunji (Sohra),3.0,Nature,Adventure,Photography,Music,Not Specified,,3,Visit the Seven Sisters Falls and Dainthlen Falls,Explore the Arwah Caves,Return to Shillong or Guwahati
Gulmarg,3.0,Adventure,Nature,Photography,Winter Sports,Not Specified,,1,Arrive from Srinagar and check in,Take the Gulmarg Gondola (Phase 1) to Kongdoori,Walk through the meadows and explore the local market
Gulmarg,3.0,Adventure,Nature,Photography,Winter Sports,Not Specified,,2,Take the Gondola (Phase 2) to Apharwat Peak for stunning views,Skiing/snowboarding in winter or hiking in summer,Relax and enjoy the alpine atmosphere
Gulmarg,3.0,Adventure,Nature,Photography,Winter Sports,Not Specified,,3,Visit St. Mary's Church and the Maharani Temple,Enjoy a round of golf at the highest golf course in the world (in summer),Departure for Srinagar
Bikaner,2.0,History,Culture,Food,Winter Sports,Not Specified,,1,Explore the magnificent Junagarh Fort,Visit the Lalgarh Palace and Museum,Walk through the old city and try local snacks like Bikaneri Bhujia
Bikaner,2.0,History,Culture,Food,Winter Sports,Not Specified,,2,Visit the Karni Mata Temple (Rat Temple) in Deshnoke,Explore the National Research Centre on Camel,Enjoy a traditional Rajasthani dinner
Gwalior,2.0,History,Architecture,Music,Winter Sports,Not Specified,,1,Explore the massive Gwalior Fort,"Visit Man Singh Palace, Gujari Mahal, and Saas Bahu Temples within the fort",Attend the Sound and Light show at the fort
Gwalior,2.0,History,Architecture,Music,Winter Sports,Not Specified,,2,"Visit Jai Vilas Palace Museum, known for its opulent Durbar Hall","Explore the tomb of Tansen, the legendary musician",Listen to a classical music performance if available
Bhopal,3.0,History,Nature,Culture,Winter Sports,Not Specified,,1,Explore the Upper Lake and Lower Lake,"Visit Taj-ul-Masajid, one of the largest mosques in India",Walk through the old city's bazaars
Bhopal,3.0,History,Nature,Culture,Winter Sports,Not Specified,,2,"Day trip to the Sanchi Stupas, a UNESCO World Heritage site",Explore the Buddhist monuments and the museum,Return to Bhopal
Bhopal,3.0,History,Nature,Culture,Winter Sports,Not Specified,,3,"Day trip to Bhimbetka Rock Shelters, another UNESCO site with prehistoric paintings",Explore the ancient rock art,Relax by the lake in Bhopal
Nashik,2.0,Spiritual,Food,Nature,Winter Sports,Not Specified,,1,"Visit the temples and ghats along the Godavari River, like Ramkund",Explore the Pandavleni Caves,Visit a vineyard like Sula or York for a wine tasting tour
Nashik,2.0,Spiritual,Food,Nature,Winter Sports,Not Specified,,2,"Visit the Trimbakeshwar Shiva Temple, one of the 12 Jyotirlingas",Explore the area around Trimbakeshwar,Enjoy the sunset from a vineyard restaurant
Dwarka,2.0,Spiritual,History,Beach,Winter Sports,Not Specified,,1,Visit the main Dwarkadhish Temple (Jagat Mandir),Take a holy dip in the Gomti River at Gomti Ghat,Attend the evening aarti at Dwarkadhish Temple
Dwarka,2.0,Spiritual,History,Beach,Winter Sports,Not Specified,,2,Take a ferry to Bet Dwarka island to visit more temples,Visit the Nageshwar Jyotirlinga Temple on the way back,Relax at Dwarka Beach
Somnath,1.0,Spiritual,History,Beach,Winter Sports,Not Specified,,1,"Visit the Somnath Temple, the first of the 12 Jyotirlingas","Explore the nearby Bhalka Tirth, where Lord Krishna is said to have left his mortal form",Attend the evening Sound and Light Show at Somnath Temple and watch the sunset
Kohima,3.0,Culture,History,Nature,Winter Sports,Not Specified,,1,"Arrive in Kohima, visit the Kohima War Cemetery",Explore the Nagaland State Museum to understand Naga culture,Walk through the local market
Kohima,3.0,Culture,History,Nature,Winter Sports,Not Specified,,2,"Day trip to Khonoma Green Village, known for its conservation efforts",Learn about the history and culture of the Angami tribe,Return to Kohima
Kohima,3.0,Culture,History,Nature,Winter Sports,Not Specified,,3,"Day trip to Kisama Heritage Village, the venue for the Hornbill Festival",Hike to the top of Japfu Peak (if time and fitness permit),Enjoy a traditional Naga meal
Lakshadweep,5.0,Beach,Adventure,Nature,Photography,Not Specified,,1,Fly to Agatti Island from Kochi,Transfer to your resort and relax,Enjoy the pristine beach and sunset
Lakshadweep,5.0,Beach,Adventure,Nature,Photography,Not Specified,,2,"Water sports: kayaking, sailing, or glass-bottom boat tour",Explore Agatti island on a scooter,Stargazing on the beach
Lakshadweep,5.0,Beach,Adventure,Nature,Photography,Not Specified,,3,Day trip to Bangaram Island,Snorkeling in the crystal-clear lagoon,Return to Agatti
Lakshadweep,5.0,Beach,Adventure,Nature,Photography,Not Specified,,4,Scuba diving for certified divers or a discover scuba session for beginners,"Relax on the beach, read a book",Farewell dinner with local seafood
Lakshadweep,5.0,Beach,Adventure,Nature,Photography,Not Specified,,5,Last swim in the lagoon,Fly back to Kochi,Not Available
Visakhapatnam (Vizag),3.0,Beach,Nature,History,Photography,Not Specified,,1,Explore RK Beach and visit the Submarine Museum (INS Kursura),Visit the Kailasagiri hill park for panoramic city views,Enjoy the evening breeze at Tenneti Park
Visakhapatnam (Vizag),3.0,Beach,Nature,History,Photography,Not Specified,,2,Drive along the scenic beach road to Bheemili,Explore the tranquil Rushikonda Beach,Relax at a beachside cafe
Visakhapatnam (Vizag),3.0,Beach,Nature,History,Photography,Not Specified,,3,Day trip to the Araku Valley (can be done by a scenic train journey),Visit the Borra Caves,Return to Visakhapatnam
Thanjavur (Tanjore),2.0,History,Architecture,Spiritual,Culture,Not Specified,,1,"Visit the Brihadeeswarar Temple, a magnificent UNESCO World Heritage site",Explore the Thanjavur Maratha Palace and its art gallery,Witness the evening rituals at the temple
Thanjavur (Tanjore),2.0,History,Architecture,Spiritual,Culture,Not Specified,,2,"Visit the Saraswathi Mahal Library, one of the oldest libraries in Asia",Explore the local market to see Tanjore paintings and bronze statues being made,Enjoy traditional Chettinad cuisine
Dawki,2.0,Nature,Adventure,Photography,Culture,Not Specified,,1,Travel from Shillong to Dawki,Boating on the crystal-clear Umngot River,Camping by the riverside
Dawki,2.0,Nature,Adventure,Photography,Culture,Not Specified,,2,Visit the India-Bangladesh border at Tamabil,Explore the nearby Shnongpdeng village for more adventure activities like kayaking and zip-lining,Return journey to Shillong
Chikmagalur,2.0,Nature,Adventure,Photography,Culture,Not Specified,,1,Arrive and check into a coffee estate homestay,"Hike to Mullayanagiri, the highest peak in Karnataka",Enjoy the sunset and relax amidst the plantations
Chikmagalur,2.0,Nature,Adventure,Photography,Culture,Not Specified,,2,Visit Jhari Waterfalls and Baba Budangiri,Explore Hebbe Falls (requires a jeep ride),Coffee tasting session and departure
Badami,2.0,History,Architecture,Photography,Culture,Not Specified,,1,"Explore the Badami Cave Temples, a set of four rock-cut temples",Walk around the Agastya Lake and visit the Bhutanatha group of temples,Climb up to the fort for sunset views
Badami,2.0,History,Architecture,Photography,Culture,Not Specified,,2,Day trip to the UNESCO World Heritage sites of Pattadakal,"Explore the ancient temple town of Aihole, the cradle of Indian temple architecture",Return to Badami for departure
Tarkarli,3.0,Beach,Adventure,Food,Culture,Not Specified,,1,Arrive and check into a beachside resort,Relax on Tarkarli Beach,Enjoy fresh Malvani seafood
Tarkarli,3.0,Beach,Adventure,Food,Culture,Not Specified,,2,Scuba diving and snorkeling at Tsunami Island,"Enjoy various water sports like jet ski, banana boat ride","Visit the Sindhudurg Fort, a historic sea fort"
Tarkarli,3.0,Beach,Adventure,Food,Culture,Not Specified,,3,Boat ride in the Karli River backwaters,Visit the Rock Garden,Departure
Alappuzha (Alleppey) - Extended,3.0,Nature,Beach,Food,Culture,Not Specified,,1,Arrive and check into a houseboat by noon,Cruise through the serene backwaters of Vembanad Lake,Enjoy an authentic Kerala meal and overnight stay on the houseboat
Alappuzha (Alleppey) - Extended,3.0,Nature,Beach,Food,Culture,Not Specified,,2,"After breakfast, check out from the houseboat. Take a canoe ride through narrower canals.",Check into a backwater resort. Explore the local village life on foot.,Watch the sunset over the paddy fields
Alappuzha (Alleppey) - Extended,3.0,Nature,Beach,Food,Culture,Not Specified,,3,Visit Alleppey Beach and the old lighthouse,Explore the Revi Karunakaran Museum,Enjoy a seafood dinner at a beachside cafe
Kanchipuram,1.0,Spiritual,History,Shopping,Culture,Not Specified,,1,Visit Kailasanathar Temple and Ekambareswarar Temple,Explore Varadharaja Perumal Temple and Kamakshi Amman Temple,Shopping for world-famous Kanchipuram silk sarees
Sanchi,1.0,History,Spiritual,Architecture,Culture,Not Specified,,1,Explore the Great Stupa (Stupa No. 1) and its intricately carved gateways (Toranas),"Visit Stupa No. 2 and Stupa No. 3, and the Ashokan pillar",Explore the ASI museum at the base of the hill
Diu,2.0,Beach,History,Nightlife,Culture,Not Specified,,1,Explore the massive Diu Fort and Panikota Fort,Visit St. Paul's Church and the Diu Museum,Relax at Jallandhar Beach or Chakratirth Beach
Diu,2.0,Beach,History,Nightlife,Culture,Not Specified,,2,Relax and enjoy water sports at the beautiful Nagoa Beach,Explore the Naida Caves,Enjoy the relaxed nightlife with affordable drinks
Imphal,3.0,Culture,Nature,History,Culture,Not Specified,,1,Arrive in Imphal. Visit the Kangla Fort.,"Explore the Ima Keithel (Mother's Market), run entirely by women.",Relax and try Manipuri cuisine
Imphal,3.0,Culture,Nature,History,Culture,Not Specified,,2,"Day trip to Loktak Lake, the largest freshwater lake in Northeast India","Visit Keibul Lamjao National Park, the world's only floating national park, home to the Sangai deer",Return to Imphal
Imphal,3.0,Culture,Nature,History,Culture,Not Specified,,3,Visit the INA Memorial Complex in Moirang,Explore the Andro Cultural Village,Departure
Aizawl,2.0,Culture,Nature,Photography,Culture,Not Specified,,1,Arrive in Aizawl. Visit the Mizoram State Museum.,Hike to Durtlang Hills for a panoramic view of the city.,"Explore Bara Bazaar, the main shopping hub."
Aizawl,2.0,Culture,Nature,Photography,Culture,Not Specified,,2,Day trip to Reiek Tlang (Reiek Peak) for trekking and nature views.,Explore the model Mizo village at the foot of the peak.,Enjoy a quiet evening and local food.
Agartala,2.0,History,Culture,Nature,Culture,Not Specified,,1,"Visit the Ujjayanta Palace, the former royal palace of Tripura.",Explore the Neermahal Water Palace.,Visit the Jagannath Temple.
Agartala,2.0,History,Culture,Nature,Culture,Not Specified,,2,Day trip to Sepahijala Wildlife Sanctuary.,Explore the ancient rock carvings and murals at Unakoti.,Return to Agartala and shop for bamboo handicrafts.
Neil Island (Shaheed Dweep),2.0,Beach,Nature,Photography,Culture,Not Specified,,1,Arrive by ferry from Port Blair or Havelock.,Visit Bharatpur Beach for swimming and snorkeling.,Witness the sunset at Laxmanpur Beach.
Neil Island (Shaheed Dweep),2.0,Beach,Nature,Photography,Culture,Not Specified,,2,Visit the Natural Bridge formation at low tide.,Relax at Sitapur Beach and watch the sunrise.,Enjoy the tranquil island life before departure.
Tiruchirappalli (Trichy),2.0,Spiritual,History,Culture,Culture,Not Specified,,1,Climb the Rockfort Temple for panoramic city views.,"Visit the Sri Ranganathaswamy Temple in Srirangam, one of the largest temple complexes in the world.",Explore the temple town of Srirangam.
Tiruchirappalli (Trichy),2.0,Spiritual,History,Culture,Culture,Not Specified,,2,Visit the Jambukeswarar Temple (Thiruvanaikaval).,Explore St. Joseph's Church and the local markets.,Enjoy local Tamil cuisine.
Alwar,2.0,History,Nature,Adventure,Culture,Not Specified,,1,Visit the haunted Bhangarh Fort.,Explore the Bala Quila (Alwar Fort).,Enjoy boating at Siliserh Lake.
Alwar,2.0,History,Nature,Adventure,Culture,Not Specified,,2,Go on a safari in Sariska Tiger Reserve.,Visit Moosi Maharani Ki Chhatri and the City Palace.,Try the famous Alwar 'milk cake' (Kalakand).
Valley of Flowers National Park,6.0,Nature,Trekking,Photography,Culture,Not Specified,,1,Travel from Rishikesh/Haridwar to Joshimath.,Rest and acclimatize.,Not Available
Valley of Flowers National Park,6.0,Nature,Trekking,Photography,Culture,Not Specified,,2,"Drive from Joshimath to Govindghat, then trek to Ghangaria.",Continue the trek.,Overnight stay in Ghangaria.
Valley of Flowers National Park,6.0,Nature,Trekking,Photography,Culture,Not Specified,,3,Trek to the Valley of Flowers.,Explore the valley and its diverse flora.,Trek back to Ghangaria.
Valley of Flowers National Park,6.0,Nature,Trekking,Photography,Culture,Not Specified,,4,"Trek to Hemkund Sahib, a high-altitude Sikh pilgrimage site.",Visit the lake and Gurudwara.,Trek back down to Ghangaria.
Valley of Flowers National Park,6.0,Nature,Trekking,Photography,Culture,Not Specified,,5,Trek back from Ghangaria to Govindghat.,Drive back to Joshimath.,Relax.
Valley of Flowers National Park,6.0,Nature,Trekking,Photography,Culture,Not Specified,,6,Drive back to Rishikesh/Haridwar.,Not Available,Not Available
Amritsar - Extended,3.0,Spiritual,History,Food,Culture,Not Specified,,1,Visit the Golden Temple. Spend time in serene reflection.,Partake in the 'Langar' (community kitchen).,"Explore the Golden Temple complex, beautifully lit up at night."
Amritsar - Extended,3.0,Spiritual,History,Food,Culture,Not Specified,,2,Visit Jallianwala Bagh.,Travel to the Wagah Border for the evening Beating Retreat ceremony.,Dinner at a traditional Punjabi dhaba.
Amritsar - Extended,3.0,Spiritual,History,Food,Culture,Not Specified,,3,Explore the Partition Museum.,"Go on a food tour to taste Amritsari Kulcha, Lassi, and Jalebi.",Shopping for Phulkari dupattas and Juttis in the local market.
Meghalaya - Offbeat,5.0,Nature,Adventure,Photography,Culture,Not Specified,,1,"Arrive in Shillong, drive to Mawphlang Sacred Forest.",Guided walk through the sacred grove.,Drive to Cherrapunji (Sohra) and check in.
Meghalaya - Offbeat,5.0,Nature,Adventure,Photography,Culture,Not Specified,,2,Trek to the Double Decker Living Root Bridge in Nongriat.,Continue hike to Rainbow Falls.,Overnight stay in a Nongriat homestay.
Meghalaya - Offbeat,5.0,Nature,Adventure,Photography,Culture,Not Specified,,3,Trek back up from Nongriat.,"Drive to Mawlynnong, Asia's Cleanest Village.",Stay in a homestay in Mawlynnong.
Meghalaya - Offbeat,5.0,Nature,Adventure,Photography,Culture,Not Specified,,4,Visit the Living Root Bridge in Riwai village.,Drive to Dawki and enjoy boating on the Umngot River.,Drive back to Shillong.
Meghalaya - Offbeat,5.0,Nature,Adventure,Photography,Culture,Not Specified,,5,Explore Shillong's cafes and markets.,Visit Elephant Falls.,Departure.
Chittorgarh,1.0,History,Photography,Culture,Culture,Not Specified,,1,"Explore the vast Chittorgarh Fort, a UNESCO World Heritage Site",Visit Vijay Stambha (Victory Tower) and Kirti Stambha (Tower of Fame),Visit the Padmini's Palace and witness the Sound and Light show at the fort
Mandu (Mandavgarh),2.0,History,Architecture,Photography,Culture,Not Specified,,1,Explore the Royal Enclave: Jahaz Mahal (Ship Palace) and Hindola Mahal (Swing Palace),"Visit Hoshang Shah's Tomb, an inspiration for the Taj Mahal",Enjoy the sunset from Rani Roopmati's Pavilion
Mandu (Mandavgarh),2.0,History,Architecture,Photography,Culture,Not Specified,,2,Visit the Jami Masjid and Ashrafi Mahal,"Explore the Rewa Kund group of monuments, including Baz Bahadur's Palace",Relax and enjoy the historical ambiance of the abandoned city
Shekhawati (Mandawa),2.0,Culture,History,Photography,Art,Not Specified,,1,Arrive in Mandawa and explore its frescoed havelis like the Mandawa Fort and Hanuman Prasad Goenka Haveli,Walk through the town to discover more painted mansions,Enjoy a traditional Rajasthani dinner at a heritage hotel
Shekhawati (Mandawa),2.0,Culture,History,Photography,Art,Not Specified,,2,Drive to nearby towns like Nawalgarh or Fatehpur to see more elaborate havelis,Visit the Podar Haveli Museum in Nawalgarh,Shop for local handicrafts
Bharatpur (Keoladeo National Park),2.0,Nature,Photography,Wildlife,Art,Not Specified,,1,"Arrive in Bharatpur, check-in, and have lunch",Go for an evening bird-watching session inside Keoladeo National Park on a cycle rickshaw,Relax at the lodge
Bharatpur (Keoladeo National Park),2.0,Nature,Photography,Wildlife,Art,Not Specified,,2,Early morning bird-watching walk or boat ride (seasonal) in the park to see migratory birds,Visit the Lohagarh Fort and Ganga Mandir in Bharatpur town,Departure
Dehradun,2.0,Nature,Food,Spiritual,Art,Not Specified,,1,"Visit Robber's Cave (Guchu Pani), a natural river cave formation",Explore the Forest Research Institute (FRI) with its grand colonial architecture,Visit the Tibetan Buddhist Temple in Clement Town
Dehradun,2.0,Nature,Food,Spiritual,Art,Not Specified,,2,"Visit Sahastradhara, known for its waterfalls and sulphur springs",Explore Paltan Bazaar for shopping and local snacks,Enjoy dinner at one of the city's popular cafes
Pahalgam,3.0,Nature,Photography,Adventure,Art,Not Specified,,1,"Arrive in Pahalgam, check in and relax by the Lidder River",Explore the main Pahalgam market,Enjoy a leisurely walk in the meadows
Pahalgam,3.0,Nature,Photography,Adventure,Art,Not Specified,,2,Hire a local taxi to visit Betaab Valley,"Continue to Chandanwari, the starting point of the Amarnath Yatra",Return to Pahalgam and relax
Pahalgam,3.0,Nature,Photography,Adventure,Art,Not Specified,,3,"Go for a pony ride to Baisaran Valley, also known as 'Mini Switzerland'",Visit Aru Valley for its scenic beauty,Enjoy a final Kashmiri meal before departure
Sonamarg,2.0,Nature,Adventure,Photography,Art,Not Specified,,1,"Travel from Srinagar to Sonamarg, enjoying the scenic drive",Take a pony ride to Thajiwas Glacier,Walk along the Sindh River
Sonamarg,2.0,Nature,Adventure,Photography,Art,Not Specified,,2,Drive to Zoji La pass for breathtaking mountain views,Explore the local meadows and enjoy the pristine environment,Travel back towards Srinagar or onwards to Ladakh
Chopta,3.0,Adventure,Nature,Spiritual,Photography,Not Specified,,1,Travel from Rishikesh/Haridwar to Chopta,Check into a campsite and acclimatize,Enjoy the sunset and starry sky
Chopta,3.0,Adventure,Nature,Spiritual,Photography,Not Specified,,2,"Early morning trek to Tungnath Temple, the highest Shiva temple in the world",Continue the trek to Chandrashila Peak for a 360-degree Himalayan view,Trek back down to Chopta and relax around a bonfire
Chopta,3.0,Adventure,Nature,Spiritual,Photography,Not Specified,,3,"Visit Deoria Tal, a beautiful high-altitude lake",Explore the meadows and wildlife in the region,Begin the return journey
Kausani,2.0,Nature,Photography,Relaxation,Photography,Not Specified,,1,Arrive in Kausani and check in. Marvel at the panoramic view of the Himalayas,Visit the Anasakti Ashram (Gandhi Ashram),Watch the spectacular sunset over the Himalayan peaks
Kausani,2.0,Nature,Photography,Relaxation,Photography,Not Specified,,2,Visit a local tea estate and the Kausani Shawl Factory,Take a nature walk through the pine forests,Enjoy a quiet evening stargazing
Pelling,3.0,Nature,Spiritual,Photography,Photography,Not Specified,,1,Arrive in Pelling and enjoy the magnificent view of Mt. Kanchenjunga,Visit the Pemayangtse Monastery,Explore the local market
Pelling,3.0,Nature,Spiritual,Photography,Photography,Not Specified,,2,"Visit the Rabdentse Ruins, the former capital of Sikkim",Walk on the Pelling Skywalk and visit the giant Chenrezig statue,Relax and enjoy the mountain views
Pelling,3.0,Nature,Spiritual,Photography,Photography,Not Specified,,3,Visit the Kanchenjunga Falls and Khecheopalri Lake,"Explore the Singshore Bridge, one of the highest bridges in Asia",Departure
Majuli,2.0,Culture,Nature,Photography,Photography,Not Specified,,1,Take a ferry from Jorhat to Majuli island,Check into a traditional bamboo cottage and visit the Auniati Satra,Witness a cultural performance at a Satra
Majuli,2.0,Culture,Nature,Photography,Photography,Not Specified,,2,Visit Samaguri Satra to see the traditional mask-making craft,"Explore the island on a scooter, visiting local Mishing tribe villages",Enjoy the sunset over the Brahmaputra river before taking the ferry back
Nalanda and Rajgir,2.0,History,Spiritual,Culture,Photography,Not Specified,,1,"Travel to Nalanda. Explore the ruins of Nalanda University, a UNESCO World Heritage site",Visit the Nalanda Archaeological Museum and the Xuan Zang Memorial Hall,Travel to nearby Rajgir and check in
Nalanda and Rajgir,2.0,History,Spiritual,Culture,Photography,Not Specified,,2,"In Rajgir, take the ropeway to Vishwa Shanti Stupa on Ratnagiri Hill",Visit Gridhakuta (Vulture's Peak) and the hot springs (Brahmakund),Explore other sites like the Cyclopean Wall and Bimbisara's Jail
Bishnupur,2.0,History,Art,Culture,Photography,Not Specified,,1,Arrive in Bishnupur. Visit the Rasmancha pavilion.,Explore the Jor-Bangla Temple and Pancha Ratna Temple,Shop for Baluchari sarees and terracotta handicrafts
Bishnupur,2.0,History,Art,Culture,Photography,Not Specified,,2,Visit the Madanmohan Temple and Shyam Rai Temple,Explore the Bishnupur Museum (Acharya Jogesh Chandra Purakriti Bhawan),Enjoy the rustic charm of the town
Shantiniketan,2.0,Culture,History,Art,Photography,Not Specified,,1,Arrive and explore the Visva-Bharati University campus,Visit the Uttarayan Complex where Rabindranath Tagore lived,Attend a local Baul music performance if available
Shantiniketan,2.0,Culture,History,Art,Photography,Not Specified,,2,Visit the Kala Bhavana (Art College) and Sangeet Bhavana (Music College),"Explore the Kopai River and the Sonajhuri forest, especially during the Saturday market (haat)",Shop for local handicrafts
Gandikota,1.0,Nature,Photography,Adventure,History,Not Specified,,1,Arrive and explore the Gandikota Fort,Visit the Juma Masjid and Ranganatha Swamy Temple inside the fort. Marvel at the Penna River gorge ('Grand Canyon of India'),"Camping and kayaking near the gorge, or stay at the local Haritha hotel"
Lepakshi,1.0,History,Spiritual,Photography,Art,Not Specified,,1,Arrive in Lepakshi. Visit the Veerabhadra Temple.,Marvel at the architectural wonders like the 'Hanging Pillar' and intricate carvings.,"Visit the giant monolithic Nandi statue, one of the largest in the world."
Yercaud,2.0,Nature,Relaxation,Photography,Art,Not Specified,,1,Arrive in Yercaud. Go for boating in the Emerald Lake (Yercaud Lake).,Visit the Lady's Seat viewpoint for panoramic views of the ghats,Explore the Rose Garden and Anna Park
Yercaud,2.0,Nature,Relaxation,Photography,Art,Not Specified,,2,Drive up to the Pagoda Point and Karadiyur View Point,Visit the Kiliyur Falls (best after monsoon),Walk through a coffee plantation and relax
Dhanushkodi,1.0,History,Photography,Beach,Spiritual,Not Specified,,1,Travel from Rameshwaram to Dhanushkodi by jeep.,"Explore the ruins of the ghost town (church, railway station, etc.).",Visit the Land's End (Arichal Munai) where the Bay of Bengal and Indian Ocean meet.
Murudeshwar,1.0,Spiritual,Beach,Photography,Spiritual,Not Specified,,1,Visit the Murudeshwar Temple and the towering 123-feet Shiva statue.,Take the elevator up the temple's gopuram for a panoramic view of the statue and the sea.,Relax at Murudeshwar Beach and try some water sports.
Udupi,2.0,Spiritual,Food,Beach,Spiritual,Not Specified,,1,Visit the famous Udupi Sri Krishna Matha.,Explore the nearby Malpe Beach and take a boat to St. Mary's Island to see the columnar basaltic lava formations.,Savour authentic Udupi cuisine at a local restaurant.
Udupi,2.0,Spiritual,Food,Beach,Spiritual,Not Specified,,2,Visit Kaup Beach and its lighthouse.,Explore the tranquil Delta Beach (Kodi Bengre) where the river meets the sea.,Relax and enjoy the coastal atmosphere.
